year,ronda,nombre_carrera,nombre_circuito,fecha_carrera,hora_carrera,fecha_carrera_sprint,url_foto
2018,1,Australian Grand Prix,Albert Park Grand Prix Circuit,2018-03-25,05:10:00Z,NA,backend/fotos_circuitos/australian_2018.jpg
2018,2,Bahrain Grand Prix,Bahrain International Circuit,2018-04-08,15:10:00Z,NA,backend/fotos_circuitos/bahrain_2018.jpg
2018,3,Chinese Grand Prix,Shanghai International Circuit,2018-04-15,06:10:00Z,NA,backend/fotos_circuitos/chinese_2018.jpg
2018,4,Azerbaijan Grand Prix,Baku City Circuit,2018-04-29,12:10:00Z,NA,backend/fotos_circuitos/azerbaijan_2018.jpg
2018,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018-05-13,13:10:00Z,NA,backend/fotos_circuitos/spanish_2018.jpg
2018,6,Monaco Grand Prix,Circuit de Monaco,2018-05-27,13:10:00Z,NA,backend/fotos_circuitos/monaco_2018.jpg
2018,7,Canadian Grand Prix,Circuit Gilles Villeneuve,2018-06-10,18:10:00Z,NA,backend/fotos_circuitos/canadian_2018.jpg
2018,8,French Grand Prix,Circuit Paul Ricard,2018-06-24,14:10:00Z,NA,backend/fotos_circuitos/french_2018.jpg
2018,9,Austrian Grand Prix,Red Bull Ring,2018-07-01,13:10:00Z,NA,backend/fotos_circuitos/austrian_2018.jpg
2018,10,British Grand Prix,Silverstone Circuit,2018-07-08,13:10:00Z,NA,backend/fotos_circuitos/british_2018.jpg
2018,11,German Grand Prix,Hockenheimring,2018-07-22,13:10:00Z,NA,backend/fotos_circuitos/german_2018.jpg
2018,12,Hungarian Grand Prix,Hungaroring,2018-07-29,13:10:00Z,NA,backend/fotos_circuitos/hungarian_2018.jpg
2018,13,Belgian Grand Prix,Circuit de Spa-Francorchamps,2018-08-26,13:10:00Z,NA,backend/fotos_circuitos/belgian_2018.jpg
2018,14,Italian Grand Prix,Autodromo Nazionale di Monza,2018-09-02,13:10:00Z,NA,backend/fotos_circuitos/italian_2018.jpg
2018,15,Singapore Grand Prix,Marina Bay Street Circuit,2018-09-16,12:10:00Z,NA,backend/fotos_circuitos/singapore_2018.jpg
2018,16,Russian Grand Prix,Sochi Autodrom,2018-09-30,11:10:00Z,NA,backend/fotos_circuitos/russian_2018.jpg
2018,17,Japanese Grand Prix,Suzuka Circuit,2018-10-07,05:10:00Z,NA,backend/fotos_circuitos/japanese_2018.jpg
2018,18,United States Grand Prix,Circuit of the Americas,2018-10-21,18:10:00Z,NA,backend/fotos_circuitos/united_states_2018.jpg
2018,19,Mexican Grand Prix,Autódromo Hermanos Rodríguez,2018-10-28,19:10:00Z,NA,backend/fotos_circuitos/mexican_2018.jpg
2018,20,Brazilian Grand Prix,Autódromo José Carlos Pace,2018-11-11,17:10:00Z,NA,backend/fotos_circuitos/brazilian_2018.jpg
