nombre_circuito,ciudad,pais,latitud,longitud
Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
Circuit of the Americas,Austin,USA,30.1328,-97.6411
Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533
Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
Hockenheimring,Hockenheim,Germany,49.3278,8.56583
Hungaroring,Budapest,Hungary,47.5789,19.2486
Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864
Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
Red Bull Ring,Spielberg,Austria,47.2197,14.7647
Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167
Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907
Shanghai International Circuit,Shanghai,China,31.3389,121.22
Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
Sochi Autodrom,Sochi,Russia,43.4057,39.9578
Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
Suzuka Circuit,Suzuka,Japan,34.8431,136.541
Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031
Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
Istanbul Park,Istanbul,Turkey,40.9517,29.405
Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719
Nürburgring,Nürburg,Germany,50.3356,6.9475
Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267
Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044
Losail International Circuit,Al Daayen,Qatar,25.49,51.4542
Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
Miami International Autodrome,Miami,USA,25.9581,-80.2389
Las Vegas Strip Street Circuit,Las Vegas,USA,36.1147,-115.173
