year,piloto_id,nombre,abreviacion,pais,url_foto
2018,alonso,Fernando Alonso,ALO,Spanish,backend/fotos_pilotos/fernando_alonso_2018.jpg
2018,bottas,Valtteri Bottas,BOT,Finnish,backend/fotos_pilotos/valtteri_bottas_2018.jpg
2018,ericsson,Marcus Ericsson,ERI,Swedish,backend/fotos_pilotos/marcus_ericsson_2018.jpg
2018,gasly,Pierre Gasly,GAS,French,backend/fotos_pilotos/pierre_gasly_2018.jpg
2018,grosjean,Romain Grosjean,GRO,French,backend/fotos_pilotos/romain_grosjean_2018.jpg
2018,hamilton,Lewis Hamilton,HAM,British,backend/fotos_pilotos/lewis_hamilton_2018.jpg
2018,brendon_hartley,Brendon Hartley,HAR,New Zealander,backend/fotos_pilotos/brendon_hartley_2018.jpg
2018,hulkenberg,Nico Hülkenberg,HUL,German,backend/fotos_pilotos/nico_hulkenberg_2018.jpg
2018,leclerc,Charles Leclerc,LEC,Monegasque,backend/fotos_pilotos/charles_leclerc_2018.jpg
2018,kevin_magnussen,Kevin Magnussen,MAG,Danish,backend/fotos_pilotos/kevin_magnussen_2018.jpg
2018,ocon,Esteban Ocon,OCO,French,backend/fotos_pilotos/esteban_ocon_2018.jpg
2018,perez,Sergio Pérez,PER,Mexican,backend/fotos_pilotos/sergio_perez_2018.jpg
2018,raikkonen,Kimi Räikkönen,RAI,Finnish,backend/fotos_pilotos/kimi_raikkonen_2018.jpg
2018,ricciardo,Daniel Ricciardo,RIC,Australian,backend/fotos_pilotos/daniel_ricciardo_2018.jpg
2018,sainz,Carlos Sainz,SAI,Spanish,backend/fotos_pilotos/carlos_sainz_2018.jpg
2018,sirotkin,Sergey Sirotkin,SIR,Russian,backend/fotos_pilotos/sergey_sirotkin_2018.jpg
2018,stroll,Lance Stroll,STR,Canadian,backend/fotos_pilotos/lance_stroll_2018.jpg
2018,vandoorne,Stoffel Vandoorne,VAN,Belgian,backend/fotos_pilotos/stoffel_vandoorne_2018.jpg
2018,max_verstappen,Max Verstappen,VER,Dutch,backend/fotos_pilotos/max_verstappen_2018.jpg
2018,vettel,Sebastian Vettel,VET,German,backend/fotos_pilotos/sebastian_vettel_2018.jpg
2019,albon,Alexander Albon,ALB,Thai,backend/fotos_pilotos/alexander_albon_2019.jpg
2019,bottas,Valtteri Bottas,BOT,Finnish,backend/fotos_pilotos/valtteri_bottas_2019.jpg
2019,gasly,Pierre Gasly,GAS,French,backend/fotos_pilotos/pierre_gasly_2019.jpg
2019,giovinazzi,Antonio Giovinazzi,GIO,Italian,backend/fotos_pilotos/antonio_giovinazzi_2019.jpg
2019,grosjean,Romain Grosjean,GRO,French,backend/fotos_pilotos/romain_grosjean_2019.jpg
2019,hamilton,Lewis Hamilton,HAM,British,backend/fotos_pilotos/lewis_hamilton_2019.jpg
2019,hulkenberg,Nico Hülkenberg,HUL,German,backend/fotos_pilotos/nico_hulkenberg_2019.jpg
2019,kubica,Robert Kubica,KUB,Polish,backend/fotos_pilotos/robert_kubica_2019.jpg
2019,kvyat,Daniil Kvyat,KVY,Russian,backend/fotos_pilotos/daniil_kvyat_2019.jpg
2019,leclerc,Charles Leclerc,LEC,Monegasque,backend/fotos_pilotos/charles_leclerc_2019.jpg
2019,kevin_magnussen,Kevin Magnussen,MAG,Danish,backend/fotos_pilotos/kevin_magnussen_2019.jpg
2019,norris,Lando Norris,NOR,British,backend/fotos_pilotos/lando_norris_2019.jpg
2019,perez,Sergio Pérez,PER,Mexican,backend/fotos_pilotos/sergio_perez_2019.jpg
2019,raikkonen,Kimi Räikkönen,RAI,Finnish,backend/fotos_pilotos/kimi_raikkonen_2019.jpg
2019,ricciardo,Daniel Ricciardo,RIC,Australian,backend/fotos_pilotos/daniel_ricciardo_2019.jpg
2019,russell,George Russell,RUS,British,backend/fotos_pilotos/george_russell_2019.jpg
2019,sainz,Carlos Sainz,SAI,Spanish,backend/fotos_pilotos/carlos_sainz_2019.jpg
2019,stroll,Lance Stroll,STR,Canadian,backend/fotos_pilotos/lance_stroll_2019.jpg
