year,ronda,piloto_id,constructor_id,puntos,posicion,posicion_inicial,vueltas,status,gap,vuelta_rapida,velocidad_punta_kph
2018,1,vettel,ferrari,25,1,3,58,Finished,1:29:33.283,1:26.469,220.782
2018,1,hamilton,mercedes,18,2,1,58,Finished,+5.036,1:26.444,220.845
2018,1,raikkonen,ferrari,15,3,2,58,Finished,+6.309,1:26.373,221.027
2018,1,ricciardo,red_bull,12,4,8,58,Finished,+7.069,1:25.945,222.128
2018,1,alonso,mclaren,10,5,10,58,Finished,+27.886,1:26.978,219.489
2018,1,max_verstappen,red_bull,8,6,4,58,Finished,+28.945,1:26.880,219.737
2018,1,hulkenberg,renault,6,7,7,58,Finished,+32.671,1:27.081,219.230
2018,1,bottas,mercedes,4,8,15,58,Finished,+34.339,1:27.019,219.386
2018,1,vandoorne,mclaren,2,9,11,58,Finished,+34.921,1:26.958,219.540
2018,1,sainz,renault,1,10,9,58,Finished,+45.722,1:27.944,217.079
2018,1,perez,force_india,0,11,12,58,Finished,+46.817,1:27.633,217.849
2018,1,ocon,force_india,0,12,14,58,Finished,+1:00.278,1:27.600,217.931
2018,1,leclerc,sauber,0,13,18,58,Finished,+1:15.759,1:28.759,215.085
2018,1,stroll,williams,0,14,13,58,Finished,+1:18.288,1:28.511,215.688
2018,1,brendon_hartley,toro_rosso,0,15,16,57,+1 Lap,NA,1:28.176,216.507
2018,1,grosjean,haas,0,16,6,24,Wheel,NA,1:28.805,214.974
2018,1,kevin_magnussen,haas,0,17,5,22,Wheel,NA,1:29.534,213.224
2018,1,gasly,toro_rosso,0,18,20,13,Engine,NA,1:30.649,210.601
2018,1,ericsson,sauber,0,19,17,5,Steering,NA,1:32.210,207.036
2018,1,sirotkin,williams,0,20,19,4,Brakes,NA,1:32.573,206.224
2018,2,vettel,ferrari,25,1,1,57,Finished,1:32:01.940,1:34.453,206.274
2018,2,bottas,mercedes,18,2,3,57,Finished,+0.699,1:33.740,207.842
2018,2,hamilton,mercedes,15,3,9,57,Finished,+6.512,1:33.953,207.371
2018,2,gasly,toro_rosso,12,4,5,57,Finished,+1:02.234,1:34.863,205.382
2018,2,kevin_magnussen,haas,10,5,6,57,Finished,+1:15.046,1:34.327,206.549
2018,2,hulkenberg,renault,8,6,7,57,Finished,+1:39.024,1:34.667,205.807
2018,2,alonso,mclaren,6,7,13,56,+1 Lap,NA,1:34.168,206.898
2018,2,vandoorne,mclaren,4,8,14,56,+1 Lap,NA,1:35.131,204.803
2018,2,ericsson,sauber,2,9,17,56,+1 Lap,NA,1:35.093,204.885
2018,2,ocon,force_india,1,10,8,56,+1 Lap,NA,1:35.043,204.993
2018,2,sainz,renault,0,11,10,56,+1 Lap,NA,1:35.535,203.937
2018,2,leclerc,sauber,0,12,19,56,+1 Lap,NA,1:35.075,204.924
2018,2,grosjean,haas,0,13,16,56,+1 Lap,NA,1:34.689,205.759
