year,ronda,abreviacion,nombre_escuderia,numero_vuelta,posicion,tiempo_vuelta,tiempo_sector_1,tiempo_sector_2,tiempo_sector_3,velocidad_i1,velocidad_i2,velocidad_fl,velocidad_st,numero_parada,compuesto_rueda,compuesto_vida,vuelta_eliminada,vuelta_eliminada_razon
2022,21,VER,Red Bull Racing,1,5,NA,NA,42.188,26.222,308,80,213,213,1,SOFT,1,FALSE,
2022,21,VER,Red Bull Racing,2,3,114.095,25.886,61.448,26.761,239,144,231,226,1,SOFT,2,FALSE,
2022,21,VER,Red Bull Racing,3,3,119.616,30.869,61.894,26.853,199,195,152,103,1,SOFT,3,FALSE,
2022,21,VER,Red Bull Racing,4,3,120.947,30.755,63.1,27.092,193,200,174,160,1,SOFT,4,FALSE,
2022,21,VER,Red Bull Racing,5,3,113.381,29.986,58.408,24.987,150,175,253,181,1,SOFT,5,FALSE,
2022,21,VER,Red Bull Racing,6,3,124.049,29.374,62.113,32.562,179,101,240,164,1,SOFT,6,FALSE,
2022,21,VER,Red Bull Racing,7,17,85.93,23.148,41.137,21.645,287,232,NA,283,1,SOFT,7,FALSE,
2022,21,VER,Red Bull Racing,8,17,101.052,44.545,39.037,17.47,296,243,302,NA,2,MEDIUM,1,FALSE,
2022,21,VER,Red Bull Racing,9,17,75.564,19.349,38.704,17.511,304,244,302,286,2,MEDIUM,2,FALSE,
2022,21,VER,Red Bull Racing,10,17,75.866,19.285,39.093,17.488,305,242,304,294,2,MEDIUM,3,FALSE,
2022,21,VER,Red Bull Racing,11,17,76.204,19.38,39.349,17.475,304,238,304,288,2,MEDIUM,4,FALSE,
2022,21,VER,Red Bull Racing,12,17,76.434,19.483,39.381,17.57,NA,242,305,290,2,MEDIUM,5,FALSE,
2022,21,VER,Red Bull Racing,13,17,76.444,19.472,39.498,17.474,305,243,305,291,2,MEDIUM,6,FALSE,
2022,21,VER,Red Bull Racing,14,17,76.353,19.373,39.398,17.582,NA,244,305,290,2,MEDIUM,7,FALSE,
2022,21,VER,Red Bull Racing,15,16,76.468,19.385,39.575,17.508,NA,243,306,289,2,MEDIUM,8,FALSE,
2022,21,VER,Red Bull Racing,16,16,76.688,19.35,39.731,17.607,306,240,306,294,2,MEDIUM,9,FALSE,
2022,21,VER,Red Bull Racing,17,15,77.05,19.507,39.916,17.627,307,240,306,NA,2,MEDIUM,10,FALSE,
2022,21,VER,Red Bull Racing,18,15,76.851,19.446,39.821,17.584,308,239,310,291,2,MEDIUM,11,FALSE,
2022,21,VER,Red Bull Racing,19,14,77.837,19.408,40.633,17.796,318,232,324,297,2,MEDIUM,12,FALSE,
2022,21,VER,Red Bull Racing,20,12,77.323,19.575,40.103,17.645,307,243,306,301,2,MEDIUM,13,FALSE,
2022,21,VER,Red Bull Racing,21,12,77.484,19.641,40.124,17.719,306,245,306,291,2,MEDIUM,14,FALSE,
2022,21,VER,Red Bull Racing,22,12,77.293,19.546,40.039,17.708,308,243,308,295,2,MEDIUM,15,FALSE,
2022,21,VER,Red Bull Racing,23,14,81.517,19.686,40.465,21.366,321,237,NA,293,2,MEDIUM,16,FALSE,
2022,21,VER,Red Bull Racing,24,17,102.169,45.399,39.414,17.356,298,244,302,NA,3,SOFT,8,FALSE,
2022,21,VER,Red Bull Racing,25,17,76.05,19.269,39.324,17.457,307,239,305,288,3,SOFT,9,FALSE,
2022,21,VER,Red Bull Racing,26,17,76.145,19.295,39.325,17.525,NA,245,307,NA,3,SOFT,10,FALSE,
2022,21,VER,Red Bull Racing,27,17,75.991,19.295,39.283,17.413,309,241,307,293,3,SOFT,11,FALSE,
2022,21,VER,Red Bull Racing,28,17,75.83,19.322,39.209,17.299,NA,244,309,292,3,SOFT,12,FALSE,
2022,21,VER,Red Bull Racing,29,17,76.37,19.225,39.685,17.46,321,238,325,296,3,SOFT,13,FALSE,
2022,21,VER,Red Bull Racing,30,16,76.171,19.265,39.549,17.357,310,243,310,325,3,SOFT,14,FALSE,
2022,21,VER,Red Bull Racing,31,16,76.275,19.407,39.427,17.441,NA,248,310,292,3,SOFT,15,FALSE,
2022,21,VER,Red Bull Racing,32,16,76.521,19.386,39.765,17.37,311,245,327,299,3,SOFT,16,FALSE,
2022,21,VER,Red Bull Racing,33,15,76.998,19.245,40.345,17.408,326,235,325,305,3,SOFT,17,FALSE,
2022,21,VER,Red Bull Racing,34,15,76.099,19.121,39.643,17.335,324,250,325,301,3,SOFT,18,FALSE,
2022,21,VER,Red Bull Racing,35,15,76.476,19.253,39.815,17.408,325,245,327,311,3,SOFT,19,FALSE,
2022,21,VER,Red Bull Racing,36,12,76.377,19.329,39.496,17.552,307,246,307,318,3,SOFT,20,FALSE,
2022,21,VER,Red Bull Racing,37,11,76.028,19.305,39.241,17.482,308,248,308,294,3,SOFT,21,FALSE,
2022,21,VER,Red Bull Racing,38,11,76.32,19.292,39.443,17.585,310,247,307,300,3,SOFT,22,FALSE,
2022,21,VER,Red Bull Racing,39,11,76.484,19.396,39.471,17.617,NA,246,308,294,3,SOFT,23,FALSE,
2022,21,VER,Red Bull Racing,40,11,76.259,19.494,39.37,17.395,325,247,327,300,3,SOFT,24,FALSE,
2022,21,VER,Red Bull Racing,41,10,76.333,19.351,39.392,17.59,308,247,308,315,3,SOFT,25,FALSE,
2022,21,VER,Red Bull Racing,42,10,76.115,19.355,39.308,17.452,NA,247,307,299,3,SOFT,26,FALSE,
2022,21,VER,Red Bull Racing,43,10,76.22,19.397,39.381,17.442,309,247,310,297,3,SOFT,27,FALSE,
2022,21,VER,Red Bull Racing,44,9,76.193,19.311,39.51,17.372,311,244,326,298,3,SOFT,28,FALSE,
2022,21,VER,Red Bull Racing,45,8,77.223,19.613,40.087,17.523,323,239,323,297,3,SOFT,29,FALSE,
2022,21,VER,Red Bull Racing,46,6,75.954,19.282,39.164,17.508,307,247,307,309,3,SOFT,30,FALSE,
2022,21,VER,Red Bull Racing,47,6,76.31,19.453,39.343,17.514,NA,245,306,298,3,SOFT,31,FALSE,
2022,21,VER,Red Bull Racing,48,6,79.905,19.426,39.118,21.361,NA,247,NA,296,3,SOFT,32,FALSE,
2022,21,VER,Red Bull Racing,49,11,92.762,37.442,38.231,17.089,301,246,305,NA,4,SOFT,1,FALSE,
2022,21,VER,Red Bull Racing,50,11,74.709,19.265,38.375,17.069,309,247,311,291,4,SOFT,2,FALSE,
2022,21,VER,Red Bull Racing,51,10,75.054,19.038,38.878,17.138,310,240,322,297,4,SOFT,3,FALSE,
2022,21,VER,Red Bull Racing,52,10,85.071,19.006,42.378,23.687,NA,97,258,314,4,SOFT,4,FALSE,
2022,21,VER,Red Bull Racing,53,10,101.425,26.304,52.824,22.297,117,187,222,246,4,SOFT,5,FALSE,
2022,21,VER,Red Bull Racing,54,10,101.805,27.396,51.413,22.996,191,191,264,228,4,SOFT,6,FALSE,
2022,21,VER,Red Bull Racing,55,10,100.895,27.432,51.644,21.819,271,197,261,184,4,SOFT,7,FALSE,
2022,21,VER,Red Bull Racing,56,10,86.621,22.903,43.054,20.664,291,208,183,194,4,SOFT,8,FALSE,
2022,21,VER,Red Bull Racing,57,10,114.435,28.244,56.847,29.344,146,162,177,192,4,SOFT,9,FALSE,
2022,21,VER,Red Bull Racing,58,10,115.094,33.822,54.97,26.302,155,183,209,204,4,SOFT,10,FALSE,
2022,21,VER,Red Bull Racing,59,10,115.185,30.236,55.033,29.916,264,112,288,154,4,SOFT,11,FALSE,
2022,21,VER,Red Bull Racing,60,9,76.615,20.111,39.298,17.206,315,250,308,293,4,SOFT,12,FALSE,
2022,21,VER,Red Bull Racing,61,9,75.448,19.112,39.049,17.287,314,234,318,301,4,SOFT,13,FALSE,
2022,21,VER,Red Bull Racing,62,9,75.305,19.249,39.098,16.958,329,250,338,302,4,SOFT,14,FALSE,
2022,21,VER,Red Bull Racing,63,7,74.278,19.006,38.083,17.189,309,254,311,336,4,SOFT,15,FALSE,
2022,21,VER,Red Bull Racing,64,7,74.195,18.915,38.147,17.133,310,253,311,303,4,SOFT,16,FALSE,
2022,21,VER,Red Bull Racing,65,7,74.284,19.035,38.289,16.96,311,252,329,304,4,SOFT,17,FALSE,
2022,21,VER,Red Bull Racing,66,7,74.56,19.042,38.472,17.046,326,252,331,315,4,SOFT,18,FALSE,
2022,21,VER,Red Bull Racing,67,6,74.195,18.929,38.068,17.198,310,253,310,330,4,SOFT,19,FALSE,
2022,21,VER,Red Bull Racing,68,6,74.628,19.017,38.314,17.297,312,254,309,307,4,SOFT,20,FALSE,
